ubigeo,Provincia,bajo_peso,desnutricion_cronica,anemia,ivia,ide,idh,devengado_actividad,devengado_inversion
Ubigeo,"Región /
Provincia",Número de Provincias 3/,"Población de niños menores de un año
(CENSO 2017)
1a/","Número anual de nacidos vivos con bajo peso según distrito de residencia habitual de la madre (2020)
5/",Total,"Distritos dentro de Meta 4
11/","Índice de Densidad del Estado -IDE
(2017)
12/","Pobreza extrema: Número de habitantes en situación de pobreza extrema 
17b/","Población Ocupada
(2007) 
18/"
010200,BAGUA,NA,1636,69,986,3,0.64920285677771705,22632.152329088702,24239
010300,BONGARÁ,NA,397,20,343,3,0.71639089022042102,3150.6512565632702,10037
010100,CHACHAPOYAS,NA,981,69,889,7,0.76727899863208504,6875.5735364019001,18809
010400,CONDORCANQUI,NA,1414,47,653,2,0.40882896570212401,28944.160796054599,10367
010500,LUYA,NA,852,37,614,9,0.70520448666495095,12705.674277849501,15711
010600,RODRÍGUEZ DE MENDOZA,NA,567,26,330,7,0.67419772918221399,4443.5940493600801,9588
010700,UTCUBAMBA,NA,2195,97,1785,4,0.69374940881020297,15455.7107825205,35569
060200,CAJABAMBA,NA,1612,127,1467,3,0.66506039444292797,38569.5959512306,21089
060100,CAJAMARCA,NA,6522,478,6081,12,0.74700709719590197,64059.729879218699,106196
060300,CELENDÍN,NA,1433,109,1383,10,0.65306787163156299,40113.431276987401,23866
060400,CHOTA,NA,2377,136,2174,17,0.68553748821339999,50080.147811512899,45396
060500,CONTUMAZÁ,NA,430,17,308,4,0.65951083147029899,7583.6095550548098,9230
060600,CUTERVO,NA,1952,136,1813,15,0.65887363517584896,52204.785689416,38736
060700,HUALGAYOC,NA,1197,98,1254,2,0.67028780834505997,25356.6402515316,42533
060800,JAÉN,NA,3443,185,3275,10,0.690882289980988,37157.923911834201,62184
060900,SAN IGNACIO,NA,2792,126,2154,6,0.66518126296231495,48552.145471189702,43839
061000,SAN MARCOS,NA,877,82,736,5,0.67093891246400195,22883.2169080411,14442
061100,SAN MIGUEL,NA,690,44,522,11,0.66801542781207901,18463.2459020188,14924
